seller_id,seller_state,seller_city,eligible_n,late_n,on_time_n_date,lfr_date,lfr_date_pct,late_over_eligible,late_n_ts,lfr_timestamp,lfr_timestamp_pct,median_days_vs_estimate,median_days_late,eligible_n_jan_apr,late_n_jan_apr,lfr_jan_apr,eligible_n_may_aug,late_n_may_aug,lfr_may_aug,eligible_n_single,late_n_single,lfr_single_seller,multi_seller_order_n,multi_seller_order_share,item_revenue,item_revenue_plus_freight,anomaly_n,meets_volume_floor,volume_band,n_floor_sellers,peer_weighted_mkt_lfr,peer_equal_wt_lfr,peer_p25_lfr,peer_median_lfr,peer_p75_lfr,peer_p90_lfr,peer_p95_lfr,pass_p75,pass_p90,attribution_conflict,date_ts_action_conflict,split_window_unstable,raise_bar_to_p90,rank_if_candidate,action,action_reason
cbd996ad3c1b7dc71fd0e5f5df9087e2,SP,sao jose do rio preto,86,9,77,0.1046511628,10.5,9 / 86,9,0.1046511628,10.5,-10.0000,6.0000,62,9,0.1451612903,24,0,0.0000000000,85,9,0.1058823529,1,0.0116279070,4935.97,6400.93,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,92,inconclusive,date_vs_timestamp_action_conflict
0be8ff43f22e456b4e0371b2245e4d01,SP,sao paulo,97,10,87,0.1030927835,10.3,10 / 97,10,0.1030927835,10.3,-10.0000,5.5000,62,9,0.1451612903,35,1,0.0285714286,96,10,0.1041666667,1,0.0103092784,7308.80,8848.18,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,96,inconclusive,date_vs_timestamp_action_conflict
8648b1e89e9b349e32d3741b30ec737e,SP,jacarei,78,8,70,0.1025641026,10.3,8 / 78,9,0.1153846154,11.5,-12.0000,2.5000,39,5,0.1282051282,39,3,0.0769230769,77,8,0.1038961039,1,0.0128205128,6276.70,7416.76,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,97,inconclusive,date_vs_timestamp_action_conflict
715bbd5ba4e6b74cb0d2f29eb45058b0,SP,serra negra,49,5,44,0.1020408163,10.2,5 / 49,5,0.1020408163,10.2,-14.0000,8.0000,18,3,0.1666666667,31,2,0.0645161290,47,5,0.1063829787,2,0.0408163265,3335.30,4367.41,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,98,inconclusive,date_vs_timestamp_action_conflict
4992e76a42cb3aad7a7047e0d3d7e729,SP,sao paulo,30,3,27,0.1000000000,10.0,3 / 30,4,0.1333333333,13.3,-7.5000,4.0000,11,2,0.1818181818,19,1,0.0526315789,27,3,0.1111111111,3,0.1000000000,1203.70,1786.58,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
c9c7905cffc4ef9ff9f113554423e671,SP,itapecerica da serra,82,8,74,0.0975609756,9.8,8 / 82,11,0.1341463415,13.4,-9.0000,6.0000,29,3,0.1034482759,53,5,0.0943396226,80,8,0.1000000000,2,0.0243902439,6969.89,8329.15,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
aba1721a889e04decc910aa13b768ef4,SP,sao paulo,41,4,37,0.0975609756,9.8,4 / 41,6,0.1463414634,14.6,-10.0000,3.0000,21,2,0.0952380952,20,2,0.1000000000,40,4,0.1000000000,1,0.0243902439,7371.30,8059.11,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
d5ba419e26d246a0719437cf37d9b46d,SP,sao paulo,31,3,28,0.0967741935,9.7,3 / 31,4,0.1290322581,12.9,-10.0000,13.0000,15,2,0.1333333333,16,1,0.0625000000,30,3,0.1000000000,1,0.0322580645,3770.20,4230.04,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
de23c3b98a88888289c6f5cc1209054a,SP,sao paulo,63,6,57,0.0952380952,9.5,6 / 63,9,0.1428571429,14.3,-9.0000,7.0000,42,4,0.0952380952,21,2,0.0952380952,62,6,0.0967741935,1,0.0158730159,10006.23,10997.29,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
f62d7bb4a613ec758a03342d46b580b2,MG,vicosa,32,3,29,0.0937500000,9.4,3 / 32,4,0.1250000000,12.5,-9.0000,2.0000,15,2,0.1333333333,17,1,0.0588235294,32,3,0.0937500000,0,0.0000000000,24665.00,26790.59,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
cfb1a033743668a192316f3c6d1d2671,SP,votorantim,43,4,39,0.0930232558,9.3,4 / 43,6,0.1395348837,14.0,-11.0000,1.0000,23,4,0.1739130435,20,0,0.0000000000,35,4,0.1142857143,8,0.1860465116,3354.65,4333.77,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
d13e50eaa47b4cbe9eb81465865d8cfc,SP,santo andre,66,6,60,0.0909090909,9.1,6 / 66,14,0.2121212121,21.2,-3.0000,1.0000,0,0,NULL,66,6,0.0909090909,66,6,0.0909090909,0,0.0000000000,7073.05,7907.55,1,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
23613d49c3ac2bd302259e55c06c050c,SP,porto ferreira,33,3,30,0.0909090909,9.1,3 / 33,5,0.1515151515,15.2,-12.0000,5.0000,20,3,0.1500000000,13,0,0.0000000000,27,3,0.1111111111,6,0.1818181818,1766.00,2830.06,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
891071be6ba827b591264c90c2ae8a63,SP,sao paulo,45,4,41,0.0888888889,8.9,4 / 45,7,0.1555555556,15.6,-10.0000,21.5000,17,4,0.2352941176,28,0,0.0000000000,43,4,0.0930232558,2,0.0444444444,2200.62,2836.76,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
7681ef142fd2c19048da7430856b5588,SP,guarulhos,58,5,53,0.0862068966,8.6,5 / 58,8,0.1379310345,13.8,-10.0000,7.0000,23,2,0.0869565217,35,3,0.0857142857,56,5,0.0892857143,2,0.0344827586,31211.81,34074.67,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
6edacfd9f9074789dad6d62ba7950b9c,SP,guarulhos,60,5,55,0.0833333333,8.3,5 / 60,8,0.1333333333,13.3,-8.5000,3.0000,24,1,0.0416666667,36,4,0.1111111111,56,5,0.0892857143,4,0.0666666667,3648.60,4509.04,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
04308b1ee57b6625f47df1d56f00eedf,SC,bombinhas,85,7,78,0.0823529412,8.2,7 / 85,11,0.1294117647,12.9,-13.0000,7.0000,41,3,0.0731707317,44,4,0.0909090909,85,7,0.0823529412,0,0.0000000000,50686.50,53355.58,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
dd7ddc04e1b6c2c614352b383efe2d36,SP,sao paulo,62,5,57,0.0806451613,8.1,5 / 62,9,0.1451612903,14.5,-10.0000,6.0000,32,4,0.1250000000,30,1,0.0333333333,59,5,0.0847457627,3,0.0483870968,4036.66,5485.23,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
d1c281d3ae149232351cd8c8cc885f0d,SP,ibitinga,55,4,51,0.0727272727,7.3,4 / 55,7,0.1272727273,12.7,-13.0000,7.5000,32,4,0.1250000000,23,0,0.0000000000,48,4,0.0833333333,7,0.1272727273,6723.41,8121.79,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,sao paulo - sp,30,2,28,0.0666666667,6.7,2 / 30,5,0.1666666667,16.7,-10.0000,16.5000,12,2,0.1666666667,18,0,0.0000000000,29,2,0.0689655172,1,0.0333333333,2321.50,2971.71,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
7e3f87d16fb353f408d467e74fbd8014,SP,sao paulo,62,4,58,0.0645161290,6.5,4 / 62,8,0.1290322581,12.9,-10.0000,18.5000,41,3,0.0731707317,21,1,0.0476190476,62,4,0.0645161290,0,0.0000000000,3514.54,4524.30,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,0,0,0,1,0,1,NULL,inconclusive,date_vs_timestamp_action_conflict
